view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,condition,response,type,choices,pass,question_order,example1_name,example1_color,example2_name,example2_color,examples,target,example_color,num_counters,pool_size,example_name,example,pid
NA,9760,ButtonsToText,6,117745,0.0-4.0,1,🟢🟢,"ME_vs_OneToOne trial, oneDropped","[""🟢"",""🔵""]",NA,NA,fep,🟢,lug,🔵,"fep 🟢, lug 🔵",fep jeg,NA,NA,NA,NA,NA,2
NA,5037,ButtonsToText,7,122783,0.0-5.0,1,🟣,ME trial,"[""🟣"",""🟤""]",NA,NA,NA,NA,NA,NA,"blicket 🟣, gazzer 🟣",yim,🟣,1,2,NA,NA,2
NA,6565,ButtonsToText,8,129349,0.0-6.0,1,⚫⚫🟡,"ME_vs_OneToOne trial, concat","[""⚫"",""🟡""]",NA,NA,jeg,⚫,hed,🟡,"jeg ⚫, hed 🟡",jeg yim hed,NA,NA,NA,NA,NA,2
NA,5229,ButtonsToText,9,134580,0.0-7.0,1,🔴🟠🟠,doubleInTest concat trial,"[""🟠"",""🔴""]",NA,NA,rab,🟠,jeg,🔴,"rab 🟠, jeg 🔴",jeg rab rab,NA,NA,NA,NA,NA,2
NA,3578,ButtonsToText,10,138160,0.0-8.0,1,⚫,catch trial,"[""⚫"",""🟣"",""🟠"",""🔵"",""🟡"",""🔴""]",TRUE,NA,NA,NA,NA,NA,NA,NA,⚫,NA,NA,tufa,tufa ⚫,2
NA,8448,ButtonsToText,11,146609,0.0-9.0,1,🔴,"ME_vs_OneToOne trial, simple","[""🔴"",""🟢""]",NA,NA,lomp,🔴,fep,🟢,"lomp 🔴, fep 🟢",ibb,NA,NA,NA,NA,NA,2
NA,3257,ButtonsToText,12,149868,0.0-10.0,1,🟡,catch trial,"[""🟡"",""🔴"",""🟢"",""🟠"",""⚫"",""🟣""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟡,NA,NA,hed,hed 🟡,2
NA,4217,ButtonsToText,13,154086,0.0-11.0,1,🔵,ME trial,"[""🔵"",""🔴"",""🟣"",""🟢"",""🟠"",""⚫""]",NA,NA,NA,NA,NA,NA,"dax 🔵, rish 🔵",wif,🔵,1,6,NA,NA,2
NA,3234,ButtonsToText,14,157322,0.0-12.0,1,🟡,ME trial,"[""🟡"",""🟤""]",NA,NA,NA,NA,NA,NA,zun 🟡,pab,🟡,0,2,NA,NA,2
NA,3248,ButtonsToText,15,160571,0.0-13.0,1,⚫,ME trial,"[""⚫"",""🟠"",""🔴"",""🟢"",""🟤"",""🔵""]",NA,NA,NA,NA,NA,NA,jeg ⚫,yim,⚫,0,6,NA,NA,2
NA,5759,ButtonsToText,16,166331,0.0-14.0,1,🟡,ME trial,"[""🟡"",""🟢""]",NA,NA,NA,NA,NA,NA,"tufa 🟡, fom 🟡, dax 🟡",kiki,🟡,2,2,NA,NA,2
NA,6634,ButtonsToText,17,172967,0.0-15.0,1,🟣🟣🟣🟡🟡,multipleCircles concat trial,"[""🟣"",""🟡""]",NA,NA,tufa,🟣,ibb,🟡,"tufa 🟣🟣🟣, ibb 🟡🟡",tufa ibb,NA,NA,NA,NA,NA,2
NA,17205,survey-text,18,190177,0.0-16.0,1,"{""strategy"":""Tried to find a pattern in the words and sounds ""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
NA,3066,survey-multi-choice,19,193245,0.0-17.0,1,"{""effort"":""High effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"[{""page_index"":0,""viewing_time"":2973}]",2973,instructions,20,196220,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"[{""page_index"":0,""viewing_time"":2349},{""page_index"":1,""viewing_time"":2188},{""page_index"":2,""viewing_time"":2004},{""page_index"":3,""viewing_time"":5180},{""page_index"":4,""viewing_time"":5146},{""page_index"":5,""viewing_time"":4732},{""page_index"":6,""viewing_time"":5894},{""page_index"":7,""viewing_time"":3824}]",31317,instructions,0,31324,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
NA,27370,ButtonsToText,1,58698,0.0-0.0-1.0,1,🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
NA,36826,survey-multi-choice,2,95527,0.0-0.0-2.0,1,"{""commands"":""Categories of circles"",""outputs"":""Button clicks"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"[{""page_index"":0,""viewing_time"":1869},{""page_index"":1,""viewing_time"":2244},{""page_index"":2,""viewing_time"":1452},{""page_index"":3,""viewing_time"":6968},{""page_index"":4,""viewing_time"":5262},{""page_index"":5,""viewing_time"":1982},{""page_index"":6,""viewing_time"":1890},{""page_index"":7,""viewing_time"":482}]",22149,instructions,3,117679,0.0-0.1-0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
NA,2297,ButtonsToText,4,119978,0.0-0.1-1.1,1,🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
NA,12744,survey-multi-choice,5,132724,0.0-0.1-2.1,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"[{""page_index"":0,""viewing_time"":1741}]",1741,instructions,6,134469,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
NA,16350,ButtonsToText,7,150822,0.0-2.0,1,🟣,"ME_vs_OneToOne trial, concat","[""⚫"",""🟣""]",NA,NA,wif,⚫,yim,🟣,"wif ⚫, yim 🟣",wif fom yim,NA,NA,NA,NA,NA,27
NA,7754,ButtonsToText,8,158579,0.0-3.0,1,🟢🟢,ME trial,"[""🟢"",""🟠"",""🟤"",""🔴"",""🟣"",""🔵""]",NA,NA,NA,NA,NA,NA,"rab 🟢, ibb 🟢",zup,🟢,1,6,NA,NA,27
NA,7050,ButtonsToText,9,165631,0.0-4.0,1,🔵🟣,"ME_vs_OneToOne trial, oneDropped","[""🔵"",""🟣""]",NA,NA,rab,🔵,pab,🟣,"rab 🔵, pab 🟣",rab fep,NA,NA,NA,NA,NA,27
NA,3801,ButtonsToText,10,169435,0.0-5.0,1,🟢🟤,doubleInTest concat trial,"[""🟢"",""🟤""]",NA,NA,rab,🟢,tufa,🟤,"rab 🟢, tufa 🟤",tufa rab rab,NA,NA,NA,NA,NA,27
NA,8011,ButtonsToText,11,177448,0.0-6.0,1,🟤🟤🟤,ME trial,"[""🟤"",""🟣"",""🟡"",""⚫"",""🔴"",""🟢""]",NA,NA,NA,NA,NA,NA,"wif 🟤, blicket 🟤, hed 🟤",fom,🟤,2,6,NA,NA,27
NA,2737,ButtonsToText,12,180187,0.0-7.0,1,🟢🟡,"ME_vs_OneToOne trial, simple","[""🟢"",""🟡""]",NA,NA,zun,🟢,yim,🟡,"zun 🟢, yim 🟡",lomp,NA,NA,NA,NA,NA,27
NA,3530,ButtonsToText,13,183719,0.0-8.0,1,⚫⚫⚫,ME trial,"[""⚫"",""🟠""]",NA,NA,NA,NA,NA,NA,"wif ⚫, tufa ⚫, zun ⚫",lug,⚫,2,2,NA,NA,27
NA,2370,ButtonsToText,14,186091,0.0-9.0,1,🟤🟤,ME trial,"[""🟤"",""🔵""]",NA,NA,NA,NA,NA,NA,"wif 🟤, cag 🟤",rish,🟤,1,2,NA,NA,27
NA,3305,ButtonsToText,15,189399,0.0-10.0,1,⚫⚫⚫🟠🟠,multipleCircles concat trial,"[""⚫"",""🟠""]",NA,NA,kiki,⚫,ibb,🟠,"kiki ⚫⚫⚫, ibb 🟠🟠",kiki ibb,NA,NA,NA,NA,NA,27
NA,1983,ButtonsToText,16,191385,0.0-11.0,1,🔵,ME trial,"[""🔵"",""🟡""]",NA,NA,NA,NA,NA,NA,gazzer 🔵,pab,🔵,0,2,NA,NA,27
NA,1840,ButtonsToText,17,193228,0.0-12.0,1,⚫,catch trial,"[""⚫"",""🟡"",""🔵"",""🟠"",""🟣"",""🟤""]",TRUE,NA,NA,NA,NA,NA,NA,NA,⚫,NA,NA,blicket,blicket ⚫,27
NA,2049,ButtonsToText,18,195279,0.0-13.0,1,🟡,ME trial,"[""🟡"",""🟠"",""🔴"",""🟤"",""🔵"",""🟢""]",NA,NA,NA,NA,NA,NA,hed 🟡,pab,🟡,0,6,NA,NA,27
NA,2578,ButtonsToText,19,197860,0.0-14.0,1,🟣,catch trial,"[""🟣"",""🟢"",""🔴"",""🟠"",""🟤"",""🔵""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟣,NA,NA,zup,zup 🟣,27
NA,2014,ButtonsToText,20,199877,0.0-15.0,1,🟤,simple concat trial,"[""🟤"",""⚫""]",NA,NA,fep,🟤,lomp,⚫,"fep 🟤, lomp ⚫",fep lomp,NA,NA,NA,NA,NA,27
NA,15633,survey-text,21,215535,0.0-16.0,1,"{""strategy"":""intuition""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
NA,3617,survey-multi-choice,22,219155,0.0-17.0,1,"{""effort"":""Moderate effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"[{""page_index"":0,""viewing_time"":1901}]",1902,instructions,23,221061,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"[{""page_index"":0,""viewing_time"":2926},{""page_index"":1,""viewing_time"":37173},{""page_index"":2,""viewing_time"":4440},{""page_index"":3,""viewing_time"":65582},{""page_index"":4,""viewing_time"":16134},{""page_index"":5,""viewing_time"":9062},{""page_index"":6,""viewing_time"":5313},{""page_index"":7,""viewing_time"":41244}]",181875,instructions,0,181889,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
NA,44231,ButtonsToText,1,226126,0.0-0.0-1.0,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
NA,27300,survey-multi-choice,2,253434,0.0-0.0-2.0,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
"[{""page_index"":0,""viewing_time"":2365}]",2366,instructions,3,255806,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
NA,33335,ButtonsToText,4,289146,0.0-2.0,1,⚫,ME trial,"[""⚫"",""🔵"",""🟠"",""🔴"",""🟡"",""🟣""]",NA,NA,NA,NA,NA,NA,"lug ⚫, gazzer ⚫",zup,⚫,1,6,NA,NA,68
NA,33108,ButtonsToText,5,322253,0.0-3.0,1,🔵,ME trial,"[""🟤"",""🟡"",""🟣"",""🔵"",""🟢"",""🟠""]",NA,NA,NA,NA,NA,NA,"hed 🟤, fom 🟤, yim 🟤",rish,🟤,2,6,NA,NA,68
NA,24405,ButtonsToText,6,346661,0.0-4.0,1,🔴🔴🟢,"ME_vs_OneToOne trial, concat","[""🔴"",""🟢""]",NA,NA,fom,🔴,fep,🟢,"fom 🔴, fep 🟢",fom yim fep,NA,NA,NA,NA,NA,68
NA,9535,ButtonsToText,7,356201,0.0-5.0,1,🔴,catch trial,"[""🔴"",""🔵"",""🟤"",""🟡"",""🟢"",""🟣""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🔴,NA,NA,kiki,kiki 🔴,68
NA,9218,ButtonsToText,8,365425,0.0-6.0,1,🟣,"ME_vs_OneToOne trial, simple","[""🟣"",""🟠""]",NA,NA,fom,🟣,blicket,🟠,"fom 🟣, blicket 🟠",rab,NA,NA,NA,NA,NA,68
NA,10080,ButtonsToText,9,375508,0.0-7.0,1,⚫,ME trial,"[""🟠"",""⚫""]",NA,NA,NA,NA,NA,NA,"wif 🟠, blicket 🟠",hed,🟠,1,2,NA,NA,68
NA,6105,ButtonsToText,10,381617,0.0-8.0,1,🟢🟠,simple concat trial,"[""🟢"",""🟠""]",NA,NA,pab,🟢,gazzer,🟠,"pab 🟢, gazzer 🟠",pab gazzer,NA,NA,NA,NA,NA,68
NA,9572,ButtonsToText,11,391193,0.0-9.0,1,🟤🟤🟤🟢🟢,multipleCircles concat trial,"[""🟤"",""🟢""]",NA,NA,lomp,🟤,blicket,🟢,"lomp 🟤🟤🟤, blicket 🟢🟢",lomp blicket,NA,NA,NA,NA,NA,68
NA,6853,ButtonsToText,12,398051,0.0-10.0,1,🟣,ME trial,"[""🔵"",""🟣""]",NA,NA,NA,NA,NA,NA,ibb 🔵,kiki,🔵,0,2,NA,NA,68
NA,7626,ButtonsToText,13,405680,0.0-11.0,1,🟠🟠,"ME_vs_OneToOne trial, oneDropped","[""🟠"",""🟡""]",NA,NA,pab,🟠,blicket,🟡,"pab 🟠, blicket 🟡",pab wif,NA,NA,NA,NA,NA,68
NA,4962,ButtonsToText,14,410649,0.0-12.0,1,🟢,catch trial,"[""🟢"",""🟣"",""⚫"",""🟤"",""🟡"",""🔴""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟢,NA,NA,zun,zun 🟢,68
NA,10725,ButtonsToText,15,421381,0.0-13.0,1,🟢,ME trial,"[""⚫"",""🔴"",""🟤"",""🟣"",""🟠"",""🟢""]",NA,NA,NA,NA,NA,NA,ibb ⚫,fom,⚫,0,6,NA,NA,68
NA,6135,ButtonsToText,16,427521,0.0-14.0,1,🟡🟢🟢,doubleInTest concat trial,"[""🟢"",""🟡""]",NA,NA,fep,🟢,hed,🟡,"fep 🟢, hed 🟡",hed fep fep,NA,NA,NA,NA,NA,68
NA,12325,ButtonsToText,17,439851,0.0-15.0,1,⚫,ME trial,"[""🟠"",""⚫""]",NA,NA,NA,NA,NA,NA,"zup 🟠, jeg 🟠, hed 🟠",gazzer,🟠,2,2,NA,NA,68
NA,394316,survey-text,18,834199,0.0-16.0,1,"{""strategy"":""When the answers were definite (i.e. A= Green, B= Gray novel command = AAB) I used the obvious sequence. Aside from that I chose regarding similarity (especially on a binary choice) i.e. if the words fip and yep were given as gray and I was asked for a different word, I would click the same color for \""similar\"" words (3 letter words or/and common letters) and the other/ one of the other colors for a not so \""similar\"" word.""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
NA,9302,survey-multi-choice,19,843506,0.0-17.0,1,"{""effort"":""Moderate to high effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
"[{""page_index"":0,""viewing_time"":13321}]",13322,instructions,20,856834,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
"[{""page_index"":0,""viewing_time"":1761},{""page_index"":1,""viewing_time"":2439},{""page_index"":2,""viewing_time"":2477},{""page_index"":3,""viewing_time"":5478},{""page_index"":4,""viewing_time"":4760},{""page_index"":5,""viewing_time"":8594},{""page_index"":6,""viewing_time"":4873},{""page_index"":7,""viewing_time"":6657}]",37042,instructions,0,37043,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
NA,21182,ButtonsToText,1,58229,0.0-0.0-1.0,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
NA,26632,survey-multi-choice,2,84864,0.0-0.0-2.0,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"[{""page_index"":0,""viewing_time"":1399}]",1400,instructions,3,86271,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
NA,9651,ButtonsToText,4,95925,0.0-2.0,1,🔴🟠,simple concat trial,"[""🔴"",""🟠""]",NA,NA,hed,🔴,fom,🟠,"hed 🔴, fom 🟠",hed fom,NA,NA,NA,NA,NA,23
NA,12659,ButtonsToText,5,108587,0.0-3.0,1,🟡🟡🟡🔴🔴,multipleCircles concat trial,"[""🟡"",""🔴""]",NA,NA,pab,🟡,hed,🔴,"pab 🟡🟡🟡, hed 🔴🔴",pab hed,NA,NA,NA,NA,NA,23
NA,8158,ButtonsToText,6,116749,0.0-4.0,1,🟤,ME trial,"[""🔵"",""🟤""]",NA,NA,NA,NA,NA,NA,"gazzer 🔵, tufa 🔵, ibb 🔵",fom,🔵,2,2,NA,NA,23
NA,10926,ButtonsToText,7,127680,0.0-5.0,1,⚫,ME trial,"[""🟡"",""🔴"",""🟣"",""🟤"",""🟢"",""⚫""]",NA,NA,NA,NA,NA,NA,"gazzer 🟡, kiki 🟡",cag,🟡,1,6,NA,NA,23
NA,2803,ButtonsToText,8,130487,0.0-6.0,1,🟢,catch trial,"[""🟢"",""🟠"",""🟤"",""🔴"",""🟡"",""⚫""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟢,NA,NA,tufa,tufa 🟢,23
NA,2142,ButtonsToText,9,132632,0.0-7.0,1,🟤,ME trial,"[""🔴"",""🟤""]",NA,NA,NA,NA,NA,NA,tufa 🔴,fom,🔴,0,2,NA,NA,23
NA,11862,ButtonsToText,10,144497,0.0-8.0,1,⚫🟡,"ME_vs_OneToOne trial, concat","[""⚫"",""🟡""]",NA,NA,lug,⚫,dax,🟡,"lug ⚫, dax 🟡",lug hed dax,NA,NA,NA,NA,NA,23
NA,3857,ButtonsToText,11,148357,0.0-9.0,1,⚫,catch trial,"[""⚫"",""🟠"",""🔵"",""🟣"",""🟢"",""🟤""]",TRUE,NA,NA,NA,NA,NA,NA,NA,⚫,NA,NA,rish,rish ⚫,23
NA,6687,ButtonsToText,12,155049,0.0-10.0,1,🟤,"ME_vs_OneToOne trial, oneDropped","[""🟤"",""🟡""]",NA,NA,fom,🟤,rab,🟡,"fom 🟤, rab 🟡",fom lug,NA,NA,NA,NA,NA,23
NA,12064,ButtonsToText,13,167116,0.0-11.0,1,🟡,"ME_vs_OneToOne trial, simple","[""🟡"",""🟢""]",NA,NA,dax,🟡,lomp,🟢,"dax 🟡, lomp 🟢",hed,NA,NA,NA,NA,NA,23
NA,5927,ButtonsToText,14,173048,0.0-12.0,1,🟤,ME trial,"[""🟡"",""🔴"",""🟠"",""🟤"",""⚫"",""🔵""]",NA,NA,NA,NA,NA,NA,"cag 🟡, fep 🟡, yim 🟡",lug,🟡,2,6,NA,NA,23
NA,3672,ButtonsToText,15,176722,0.0-13.0,1,🟡,ME trial,"[""🟣"",""🟤"",""🟡"",""🟠"",""🔵"",""⚫""]",NA,NA,NA,NA,NA,NA,hed 🟣,yim,🟣,0,6,NA,NA,23
NA,2896,ButtonsToText,16,179621,0.0-14.0,1,🟠,ME trial,"[""🔵"",""🟠""]",NA,NA,NA,NA,NA,NA,"wif 🔵, blicket 🔵",gazzer,🔵,1,2,NA,NA,23
NA,8459,ButtonsToText,17,188083,0.0-15.0,1,🔵🟡🟡,doubleInTest concat trial,"[""🟡"",""🔵""]",NA,NA,cag,🟡,rish,🔵,"cag 🟡, rish 🔵",rish cag cag,NA,NA,NA,NA,NA,23
NA,65093,survey-text,18,253185,0.0-16.0,1,"{""strategy"":""intuition, number of letters for each command and silimiarity""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
NA,9134,survey-multi-choice,19,262320,0.0-17.0,1,"{""effort"":""Moderate to high effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"[{""page_index"":0,""viewing_time"":8976}]",8977,instructions,20,271303,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"[{""page_index"":0,""viewing_time"":1745},{""page_index"":1,""viewing_time"":3626},{""page_index"":2,""viewing_time"":5082},{""page_index"":3,""viewing_time"":8651},{""page_index"":4,""viewing_time"":7260},{""page_index"":5,""viewing_time"":7271},{""page_index"":6,""viewing_time"":13030},{""page_index"":7,""viewing_time"":48723}]",95389,instructions,0,95402,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,257127,ButtonsToText,1,352534,0.0-0.0-1.0,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,34492,survey-multi-choice,2,387031,0.0-0.0-2.0,1,"{""commands"":""Categories of circles"",""outputs"":""Button clicks"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"[{""page_index"":0,""viewing_time"":1629},{""page_index"":1,""viewing_time"":2302},{""page_index"":2,""viewing_time"":1952},{""page_index"":3,""viewing_time"":914},{""page_index"":4,""viewing_time"":932},{""page_index"":5,""viewing_time"":1347},{""page_index"":6,""viewing_time"":1520},{""page_index"":7,""viewing_time"":639}]",11235,instructions,3,398274,0.0-0.1-0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,4144,ButtonsToText,4,402421,0.0-0.1-1.1,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,36284,survey-multi-choice,5,438707,0.0-0.1-2.1,1,"{""commands"":""Categories of circles"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"[{""page_index"":0,""viewing_time"":946},{""page_index"":1,""viewing_time"":568},{""page_index"":2,""viewing_time"":166},{""page_index"":3,""viewing_time"":171},{""page_index"":4,""viewing_time"":168},{""page_index"":5,""viewing_time"":155},{""page_index"":6,""viewing_time"":163},{""page_index"":7,""viewing_time"":228}]",2565,instructions,6,441277,0.0-0.2-0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,6231,ButtonsToText,7,447510,0.0-0.2-1.2,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,24493,survey-multi-choice,8,472006,0.0-0.2-2.2,1,"{""commands"":""Categories of circles"",""outputs"":""Colored circles"",""independence"":""Yes"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"[{""page_index"":0,""viewing_time"":957},{""page_index"":1,""viewing_time"":318},{""page_index"":2,""viewing_time"":292},{""page_index"":3,""viewing_time"":408},{""page_index"":4,""viewing_time"":329},{""page_index"":5,""viewing_time"":353},{""page_index"":6,""viewing_time"":344},{""page_index"":7,""viewing_time"":386}]",3388,instructions,9,475399,0.0-0.3-0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,2865,ButtonsToText,10,478266,0.0-0.3-1.3,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,38774,survey-multi-choice,11,517044,0.0-0.3-2.3,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"[{""page_index"":0,""viewing_time"":3923}]",3924,instructions,12,520975,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,46338,ButtonsToText,13,567317,0.0-2.0,1,🟤,ME trial,"[""🟤"",""🔴"",""🟡"",""⚫"",""🔵"",""🟣""]",NA,NA,NA,NA,NA,NA,tufa 🟤,dax,🟤,0,6,NA,NA,42
NA,14942,ButtonsToText,14,582261,0.0-3.0,1,🟣,"ME_vs_OneToOne trial, oneDropped","[""🟣"",""🔵""]",NA,NA,fom,🟣,rab,🔵,"fom 🟣, rab 🔵",fom lomp,NA,NA,NA,NA,NA,42
NA,5610,ButtonsToText,15,587874,0.0-4.0,1,🔴🟤,simple concat trial,"[""🔴"",""🟤""]",NA,NA,lug,🔴,gazzer,🟤,"lug 🔴, gazzer 🟤",lug gazzer,NA,NA,NA,NA,NA,42
NA,27668,ButtonsToText,16,615545,0.0-5.0,1,⚫,ME trial,"[""🟣"",""🟢"",""🔵"",""🟠"",""🟡"",""⚫""]",NA,NA,NA,NA,NA,NA,"ibb 🟣, kiki 🟣, tufa 🟣",blicket,🟣,2,6,NA,NA,42
NA,8733,ButtonsToText,17,624282,0.0-6.0,1,⚫,"ME_vs_OneToOne trial, simple","[""🔴"",""⚫""]",NA,NA,lomp,🔴,fom,⚫,"lomp 🔴, fom ⚫",wif,NA,NA,NA,NA,NA,42
NA,4287,ButtonsToText,18,628573,0.0-7.0,1,⚫,ME trial,"[""🟣"",""🔵"",""⚫"",""🔴"",""🟡"",""🟠""]",NA,NA,NA,NA,NA,NA,"tufa 🟣, kiki 🟣",blicket,🟣,1,6,NA,NA,42
NA,6827,ButtonsToText,19,635403,0.0-8.0,1,🟢🟡,"ME_vs_OneToOne trial, concat","[""🟢"",""🟡""]",NA,NA,rish,🟢,fom,🟡,"rish 🟢, fom 🟡",rish dax fom,NA,NA,NA,NA,NA,42
NA,2737,ButtonsToText,20,638144,0.0-9.0,1,🟠,catch trial,"[""🔴"",""🔵"",""🟢"",""🟤"",""⚫"",""🟠""]",FALSE,NA,NA,NA,NA,NA,NA,NA,🔴,NA,NA,wif,wif 🔴,42
NA,2674,ButtonsToText,21,640824,0.0-10.0,1,🟠,catch trial,"[""🟠"",""🟡"",""🟤"",""⚫"",""🟣"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟠,NA,NA,fom,fom 🟠,42
NA,5330,ButtonsToText,22,646157,0.0-11.0,1,🔴,ME trial,"[""🔵"",""🔴""]",NA,NA,NA,NA,NA,NA,"zup 🔵, lomp 🔵, wif 🔵",fom,🔵,2,2,NA,NA,42
